Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;BFS-Nr;Kantonskürzel;E;N;Sprache;Validity
Aeugst am Albis;8914;00;Aeugst am Albis;1;ZH;2679402.872;1235842.010;de;2008-07-01
Aeugstertal;8914;02;Aeugst am Albis;1;ZH;2679815.372;1237404.310;de;2008-07-01
Zwillikon;8909;00;Affoltern am Albis;2;ZH;2675280.133;1238108.286;de;2008-07-01
Affoltern am Albis;8910;00;Affoltern am Albis;2;ZH;2676852.012;1236929.718;de;2008-07-01
Bonstetten;8906;00;Bonstetten;3;ZH;2677412.150;1241078.278;de;2008-07-01
Sihlbrugg;6340;04;Hausen am Albis;4;ZH;2686082.431;1230649.176;de;2008-07-01
Langnau am Albis;8135;00;Hausen am Albis;4;ZH;2682031.828;1235594.870;de;2008-07-01
Hausen am Albis;8915;00;Hausen am Albis;4;ZH;2682851.794;1233662.737;de;2008-07-01
Ebertswil;8925;00;Hausen am Albis;4;ZH;2684421.805;1231375.039;de;2008-07-01
Hedingen;8908;00;Hedingen;5;ZH;2676516.423;1239543.573;de;2008-07-01
Kappel am Albis;8926;00;Kappel am Albis;6;ZH;2681771.501;1231404.158;de;2008-07-01
Hauptikon;8926;02;Kappel am Albis;6;ZH;2679950.610;1231828.879;de;2008-07-01
Uerzlikon;8926;03;Kappel am Albis;6;ZH;2680321.762;1230229.033;de;2008-07-01
Knonau;8934;00;Knonau;7;ZH;2677587.649;1230879.646;de;2008-07-01
Maschwanden;8933;00;Maschwanden;8;ZH;2675132.724;1232112.741;de;2008-07-01
Mettmenstetten;8932;00;Mettmenstetten;9;ZH;2677789.998;1233600.220;de;2008-07-01
Affoltern am Albis;8910;00;Obfelden;10;ZH;2675665.187;1236090.022;de;2008-07-01
Obfelden;8912;00;Obfelden;10;ZH;2674456.245;1234854.065;de;2008-07-01
Ottenbach;8913;00;Ottenbach;11;ZH;2673382.535;1237139.777;de;2008-07-01
Rifferswil;8911;00;Rifferswil;12;ZH;2679965.450;1233269.319;de;2008-07-01
Adliswil;8134;00;Stallikon;13;ZH;2680696.736;1240684.937;de;2008-07-01
Stallikon;8143;00;Stallikon;13;ZH;2679441.380;1242625.820;de;2008-07-01
Uetliberg;8143;02;Stallikon;13;ZH;2679573.189;1244717.829;de;2008-07-01
Wettswil;8907;00;Wettswil am Albis;14;ZH;2677993.454;1243461.551;de;2008-07-01
Benken ZH;8463;00;Benken (ZH);22;ZH;2691357.350;1278833.315;de;2008-07-01
Berg am Irchel;8415;00;Berg am Irchel;23;ZH;2686327.191;1268659.976;de;2008-07-01
Gräslikon;8415;01;Berg am Irchel;23;ZH;2687796.479;1267906.254;de;2008-07-01
Buch am Irchel;8414;00;Buch am Irchel;24;ZH;2689314.064;1267314.778;de;2008-07-01
Dachsen;8447;00;Dachsen;25;ZH;2689068.453;1279684.813;de;2008-07-01
Dorf;8458;00;Dorf;26;ZH;2691097.997;1269654.271;de;2008-07-01
Feuerthalen;8245;00;Feuerthalen;27;ZH;2690508.331;1282739.757;de;2008-07-01
Langwiesen;8246;00;Feuerthalen;27;ZH;2691906.276;1282130.783;de;2008-07-01
Flaach;8416;00;Flaach;28;ZH;2687512.518;1270948.915;de;2008-07-01
Flurlingen;8247;00;Flurlingen;29;ZH;2689867.716;1282127.243;de;2008-07-01
Henggart;8444;00;Henggart;31;ZH;2693487.194;1268481.255;de;2008-07-01
Kleinandelfingen;8451;00;Kleinandelfingen;33;ZH;2693715.169;1273645.258;de;2008-07-01
Alten;8453;00;Kleinandelfingen;33;ZH;2690417.508;1272494.016;de;2008-07-01
Oerlingen;8461;00;Kleinandelfingen;33;ZH;2693132.640;1275464.005;de;2008-07-01
Nohl;8212;04;Laufen-Uhwiesen;34;ZH;2688008.348;1279837.932;de;2008-07-01
Uhwiesen;8248;00;Laufen-Uhwiesen;34;ZH;2690992.849;1280555.225;de;2008-07-01
Dachsen;8447;00;Laufen-Uhwiesen;34;ZH;2688246.724;1281212.309;de;2008-07-01
Marthalen;8460;00;Marthalen;35;ZH;2690209.819;1274873.843;de;2008-07-01
Ellikon am Rhein;8464;00;Marthalen;35;ZH;2687787.654;1273042.354;de;2008-07-01
Trüllikon;8466;00;Ossingen;37;ZH;2694052.571;1275700.287;de;2008-07-01
Ossingen;8475;00;Ossingen;37;ZH;2696481.980;1274194.070;de;2008-07-01
Rheinau;8462;00;Rheinau;38;ZH;2688648.129;1275885.416;de;2008-07-01
Ellikon am Rhein;8464;00;Rheinau;38;ZH;2687987.317;1273199.801;de;2008-07-01
Thalheim an der Thur;8478;00;Thalheim an der Thur;39;ZH;2698295.658;1270963.313;de;2008-07-01
Rudolfingen;8465;00;Trüllikon;40;ZH;2692631.492;1277112.489;de;2008-07-01
Wildensbuch;8465;01;Trüllikon;40;ZH;2693250.060;1278549.609;de;2008-07-01
Trüllikon;8466;00;Trüllikon;40;ZH;2694810.466;1276944.181;de;2008-07-01
Truttikon;8467;00;Truttikon;41;ZH;2697026.256;1276546.973;de;2008-07-01
Volken;8459;00;Volken;43;ZH;2689744.938;1270228.939;de;2008-07-01
Bülach;8180;00;Bachenbülach;51;ZH;2684806.914;1262781.403;de;2008-07-01
Bachenbülach;8184;00;Bachenbülach;51;ZH;2683382.623;1261738.649;de;2008-07-01
Bassersdorf;8303;00;Bassersdorf;52;ZH;2689557.606;1255056.672;de;2008-07-01
Bülach;8180;00;Bülach;53;ZH;2683359.449;1265024.356;de;2008-07-01
Glattfelden;8192;00;Bülach;53;ZH;2681743.997;1267043.736;de;2008-07-01
Dietlikon;8305;00;Dietlikon;54;ZH;2688566.589;1253337.003;de;2008-07-01
Dübendorf;8600;00;Dietlikon;54;ZH;2689512.338;1251504.019;de;2008-07-01
Eglisau;8193;00;Eglisau;55;ZH;2681595.125;1269634.168;de;2008-07-01
Rafz;8197;00;Eglisau;55;ZH;2682964.220;1271746.445;de;2008-07-01
Embrach;8424;00;Embrach;56;ZH;2687457.095;1262791.700;de;2008-07-01
Freienstein;8427;02;Freienstein-Teufen;57;ZH;2687149.953;1265283.258;de;2008-07-01
Teufen ZH;8428;00;Freienstein-Teufen;57;ZH;2685452.140;1267375.826;de;2008-07-01
Bülach;8180;00;Glattfelden;58;ZH;2682033.225;1267378.098;de;2008-07-01
Glattfelden;8192;00;Glattfelden;58;ZH;2680061.007;1267726.024;de;2008-07-01
Zweidlen;8192;01;Glattfelden;58;ZH;2677995.438;1269175.919;de;2008-07-01
Eglisau;8193;00;Glattfelden;58;ZH;2679525.951;1270333.491;de;2008-07-01
Hochfelden;8182;00;Hochfelden;59;ZH;2680564.977;1264693.672;de;2008-07-01
Glattfelden;8192;00;Hochfelden;59;ZH;2679864.409;1265946.851;de;2008-07-01
Höri;8181;00;Höri;60;ZH;2680024.762;1262462.129;de;2008-07-01
Hüntwangen;8194;00;Hüntwangen;61;ZH;2679697.027;1271910.225;de;2008-07-01
Kloten;8302;00;Kloten;62;ZH;2686221.391;1257069.449;de;2008-07-01
Nürensdorf;8309;00;Kloten;62;ZH;2689662.108;1257613.181;de;2008-07-01
Lufingen;8426;00;Lufingen;63;ZH;2687138.897;1259645.616;de;2008-07-01
Nürensdorf;8309;00;Nürensdorf;64;ZH;2691439.984;1256726.947;de;2008-07-01
Oberembrach;8425;00;Oberembrach;65;ZH;2690047.988;1260553.152;de;2008-07-01
Zürich;8052;00;Opfikon;66;ZH;2684773.707;1252454.430;de;2008-07-01
Glattbrugg;8152;00;Opfikon;66;ZH;2684770.166;1254137.439;de;2008-07-01
Opfikon;8152;01;Opfikon;66;ZH;2686320.862;1253818.487;de;2008-07-01
Glattpark (Opfikon);8152;02;Opfikon;66;ZH;2684888.302;1252833.389;de;2008-07-01
Rafz;8197;00;Rafz;67;ZH;2683174.969;1273649.190;de;2008-07-01
Rorbas;8427;03;Rorbas;68;ZH;2685117.786;1265236.058;de;2008-07-01
Teufen ZH;8428;00;Rorbas;68;ZH;2685150.155;1266445.160;de;2008-07-01
Wallisellen;8304;00;Wallisellen;69;ZH;2687352.435;1252910.794;de;2008-07-01
Wasterkingen;8195;00;Wasterkingen;70;ZH;2677716.630;1272272.054;de;2008-07-01
Wil ZH;8196;00;Wasterkingen;70;ZH;2678177.434;1273535.387;de;2008-07-01
Wil ZH;8196;00;Wil (ZH);71;ZH;2679913.422;1274041.221;de;2008-07-01
Rafz;8197;00;Wil (ZH);71;ZH;2682538.946;1271914.279;de;2008-07-01
Bülach;8180;00;Winkel;72;ZH;2685078.719;1262421.125;de;2008-07-01
Winkel;8185;00;Winkel;72;ZH;2684389.023;1259634.881;de;2008-07-01
Bachs;8164;00;Bachs;81;ZH;2674334.330;1264692.644;de;2008-07-01
Boppelsen;8113;00;Boppelsen;82;ZH;2673018.921;1258135.702;de;2008-07-01
Regensberg;8158;00;Boppelsen;82;ZH;2672662.926;1259416.457;de;2008-07-01
Buchs ZH;8107;00;Buchs (ZH);83;ZH;2675555.917;1256913.634;de;2008-07-01
Dällikon;8108;00;Dällikon;84;ZH;2674960.716;1254719.662;de;2008-07-01
Dänikon ZH;8114;00;Dänikon;85;ZH;2672867.645;1255288.508;de;2008-07-01
Dielsdorf;8157;00;Dielsdorf;86;ZH;2676629.028;1258813.908;de;2008-07-01
Hüttikon;8115;00;Hüttikon;87;ZH;2671934.811;1254915.397;de;2008-07-01
Steinmaur;8162;00;Neerach;88;ZH;2676707.529;1262729.276;de;2008-07-01
Bachs;8164;00;Neerach;88;ZH;2677024.769;1263070.576;de;2008-07-01
Neerach;8173;00;Neerach;88;ZH;2678111.497;1262265.934;de;2008-07-01
Stadel b. Niederglatt;8174;00;Neerach;88;ZH;2677978.945;1263866.147;de;2008-07-01
Niederhasli;8155;00;Niederglatt;89;ZH;2678501.934;1260577.155;de;2008-07-01
Niederglatt ZH;8172;00;Niederglatt;89;ZH;2680043.963;1260671.361;de;2008-07-01
Niederhasli;8155;00;Niederhasli;90;ZH;2678996.037;1258961.080;de;2008-07-01
Nassenwil;8155;01;Niederhasli;90;ZH;2677833.705;1257920.166;de;2012-11-01
Oberhasli;8156;00;Niederhasli;90;ZH;2679974.991;1257190.672;de;2008-07-01
Niederweningen;8166;00;Niederweningen;91;ZH;2670526.559;1261101.693;de;2008-07-01
Oberglatt ZH;8154;00;Oberglatt;92;ZH;2681877.147;1259410.183;de;2008-07-01
Siglistorf;5462;00;Oberweningen;93;ZH;2672454.833;1264539.743;de;2008-07-01
Oberweningen;8165;02;Oberweningen;93;ZH;2672865.813;1261923.363;de;2008-07-01
Buchs ZH;8107;00;Otelfingen;94;ZH;2673519.093;1256545.925;de;2008-07-01
Otelfingen;8112;00;Otelfingen;94;ZH;2671351.333;1257649.110;de;2008-07-01
Regensberg;8158;00;Regensberg;95;ZH;2674193.145;1258787.282;de;2008-07-01
Regensdorf;8105;00;Regensdorf;96;ZH;2677494.177;1253966.615;de;2008-07-01
Watt;8105;02;Regensdorf;96;ZH;2678972.447;1255353.322;de;2008-07-01
Adlikon b. Regensdorf;8106;02;Regensdorf;96;ZH;2676949.846;1256234.969;de;2008-07-01
Zürich;8052;00;Rümlang;97;ZH;2683143.306;1254117.302;de;2008-07-01
Glattbrugg;8152;00;Rümlang;97;ZH;2684193.242;1254236.108;de;2008-07-01
Rümlang;8153;00;Rümlang;97;ZH;2682181.628;1255867.443;de;2008-07-01
Schleinikon;8165;03;Schleinikon;98;ZH;2671774.790;1260835.463;de;2008-07-01
Schöfflisdorf;8165;00;Schöfflisdorf;99;ZH;2673974.264;1261443.245;de;2008-07-01
Stadel b. Niederglatt;8174;00;Stadel;100;ZH;2677659.568;1264538.268;de;2008-07-01
Windlach;8175;00;Stadel;100;ZH;2677960.189;1266855.658;de;2008-07-01
Niederhasli;8155;00;Steinmaur;101;ZH;2678068.032;1260585.166;de;2008-07-01
Steinmaur;8162;00;Steinmaur;101;ZH;2675973.904;1261466.862;de;2008-07-01
Sünikon;8162;01;Steinmaur;101;ZH;2674497.378;1260168.251;de;2011-05-01
Weiach;8187;00;Weiach;102;ZH;2675486.994;1267459.923;de;2008-07-01
Hinwil;8340;00;Bäretswil;111;ZH;2706805.502;1242329.106;de;2008-07-01
Bäretswil;8344;00;Bäretswil;111;ZH;2708475.192;1243798.072;de;2008-07-01
Adetswil;8345;00;Bäretswil;111;ZH;2705648.261;1244463.791;de;2008-07-01
Gibswil;8498;00;Bäretswil;111;ZH;2711149.931;1242083.202;de;2012-05-01
Bubikon;8608;00;Bubikon;112;ZH;2703824.157;1236881.271;de;2008-07-01
Wolfhausen;8633;00;Bubikon;112;ZH;2702888.403;1235060.392;de;2008-07-01
Hinwil;8340;00;Dürnten;113;ZH;2706846.924;1237963.493;de;2008-07-01
Bubikon;8608;00;Dürnten;113;ZH;2705285.958;1236110.869;de;2008-07-01
Rüti ZH;8630;00;Dürnten;113;ZH;2707134.030;1235737.457;de;2008-07-01
Tann;8632;00;Dürnten;113;ZH;2706739.880;1236217.777;de;2008-07-01
Dürnten;8635;00;Dürnten;113;ZH;2708601.729;1236992.945;de;2008-07-01
Wald ZH;8636;00;Dürnten;113;ZH;2709841.767;1236602.141;de;2008-07-01
Hinwil;8340;00;Fischenthal;114;ZH;2709830.072;1241434.092;de;2008-07-01
Bauma;8494;00;Fischenthal;114;ZH;2711992.329;1246484.524;de;2008-07-01
Steg im Tösstal;8496;00;Fischenthal;114;ZH;2713921.581;1244787.225;de;2008-07-01
Fischenthal;8497;00;Fischenthal;114;ZH;2712346.172;1243508.610;de;2008-07-01
Gibswil;8498;00;Fischenthal;114;ZH;2711002.836;1241632.072;de;2012-05-01
Bertschikon (Gossau ZH);8614;00;Gossau (ZH);115;ZH;2699668.487;1241938.024;de;2008-07-01
Mönchaltorf;8617;00;Gossau (ZH);115;ZH;2698067.724;1240667.582;de;2008-07-01
Grüt (Gossau ZH);8624;00;Gossau (ZH);115;ZH;2701589.270;1240609.908;de;2008-07-01
Gossau ZH;8625;00;Gossau (ZH);115;ZH;2699749.589;1240085.069;de;2008-07-01
Ottikon (Gossau ZH);8626;00;Gossau (ZH);115;ZH;2701920.053;1238480.564;de;2008-07-01
Grüningen;8627;00;Gossau (ZH);115;ZH;2698215.063;1238330.057;de;2008-07-01
Grüningen;8627;00;Grüningen;116;ZH;2700132.054;1237273.872;de;2008-07-01
Hinwil;8340;00;Hinwil;117;ZH;2706764.565;1240074.759;de;2008-07-01
Wernetshausen;8342;00;Hinwil;117;ZH;2708852.674;1238742.250;de;2008-07-01
Gibswil;8498;00;Hinwil;117;ZH;2710396.697;1240786.014;de;2012-05-01
Rüti ZH;8630;00;Rüti (ZH);118;ZH;2707632.289;1235101.779;de;2008-07-01
Wald ZH;8636;00;Rüti (ZH);118;ZH;2710868.826;1236234.838;de;2008-07-01
Aathal-Seegräben;8607;00;Seegräben;119;ZH;2700407.795;1244431.822;de;2008-07-01
Fischenthal;8497;00;Wald (ZH);120;ZH;2712916.969;1241428.852;de;2008-07-01
Wald ZH;8636;00;Wald (ZH);120;ZH;2712510.506;1238014.451;de;2008-07-01
Laupen ZH;8637;00;Wald (ZH);120;ZH;2712841.448;1236176.290;de;2008-07-01
Adetswil;8345;00;Wetzikon (ZH);121;ZH;2705164.017;1243592.781;de;2008-07-01
Wetzikon ZH;8620;00;Wetzikon (ZH);121;ZH;2703484.568;1241824.341;de;2008-07-01
Wetzikon ZH;8623;00;Wetzikon (ZH);121;ZH;2704513.556;1243287.879;de;2008-07-01
Zürich;8041;00;Adliswil;131;ZH;2681240.068;1241829.952;de;2008-07-01
Adliswil;8134;00;Adliswil;131;ZH;2681911.362;1240235.046;de;2008-07-01
Kilchberg ZH;8802;00;Kilchberg (ZH);135;ZH;2683663.554;1241780.120;de;2008-07-01
Rüschlikon;8803;00;Kilchberg (ZH);135;ZH;2684355.424;1241109.101;de;2008-07-01
Langnau am Albis;8135;00;Langnau am Albis;136;ZH;2683246.251;1236692.192;de;2008-07-01
Oberrieden;8942;00;Oberrieden;137;ZH;2685547.922;1236388.442;de;2008-07-01
Richterswil;8805;00;Richterswil;138;ZH;2695250.386;1229338.499;de;2008-07-01
Samstagern;8833;00;Richterswil;138;ZH;2694030.267;1227725.555;de;2008-07-01
Rüschlikon;8803;00;Rüschlikon;139;ZH;2683864.328;1239895.958;de;2008-07-01
Gattikon;8136;00;Thalwil;141;ZH;2684319.905;1236967.456;de;2008-07-01
Thalwil;8800;00;Thalwil;141;ZH;2685110.414;1238147.755;de;2008-07-01
Erlenbach ZH;8703;00;Erlenbach (ZH);151;ZH;2687764.736;1239883.122;de;2008-07-01
Erlenbach ZH;8703;00;Herrliberg;152;ZH;2688150.038;1238743.498;de;2008-07-01
Herrliberg;8704;00;Herrliberg;152;ZH;2690048.950;1239116.052;de;2008-07-01
Grüningen;8627;00;Hombrechtikon;153;ZH;2701435.299;1235759.788;de;2008-07-01
Hombrechtikon;8634;00;Hombrechtikon;153;ZH;2700459.877;1234657.876;de;2008-07-01
Feldbach;8714;00;Hombrechtikon;153;ZH;2701975.535;1233176.210;de;2008-07-01
Forch;8127;00;Küsnacht (ZH);154;ZH;2691492.417;1241983.382;de;2008-07-01
Küsnacht ZH;8700;00;Küsnacht (ZH);154;ZH;2687511.440;1241820.290;de;2008-07-01
Oetwil am See;8618;00;Männedorf;155;ZH;2696379.433;1235751.955;de;2008-07-01
Männedorf;8708;00;Männedorf;155;ZH;2695220.984;1235237.826;de;2008-07-01
Meilen;8706;00;Meilen;156;ZH;2691346.949;1237431.811;de;2008-07-01
Oetwil am See;8618;00;Oetwil am See;157;ZH;2696819.071;1236755.421;de;2008-07-01
Hombrechtikon;8634;00;Stäfa;158;ZH;2699702.973;1233276.675;de;2008-07-01
Stäfa;8712;00;Stäfa;158;ZH;2697666.793;1233951.588;de;2008-07-01
Uerikon;8713;00;Stäfa;158;ZH;2699856.209;1232725.582;de;2008-07-01
Uetikon am See;8707;00;Uetikon am See;159;ZH;2694105.010;1236334.427;de;2008-07-01
Zumikon;8126;00;Zumikon;160;ZH;2689726.787;1243460.024;de;2008-07-01
Zollikerberg;8125;00;Zollikon;161;ZH;2688380.667;1244413.436;de;2008-07-01
Zollikon;8702;00;Zollikon;161;ZH;2686304.449;1244037.820;de;2008-07-01
Illnau;8308;00;Fehraltorf;172;ZH;2698779.927;1251208.382;de;2008-07-01
Fehraltorf;8320;00;Fehraltorf;172;ZH;2699053.130;1249336.143;de;2008-07-01
Hittnau;8335;00;Hittnau;173;ZH;2705079.532;1247196.262;de;2008-07-01
Kemptthal;8310;00;Lindau;176;ZH;2695410.032;1256111.435;de;2008-07-01
Grafstal;8310;01;Lindau;176;ZH;2694943.534;1255593.897;de;2008-07-01
Winterberg ZH;8312;00;Lindau;176;ZH;2694416.081;1257011.555;de;2008-07-01
Lindau;8315;00;Lindau;176;ZH;2693432.138;1255496.711;de;2008-07-01
Tagelswangen;8317;00;Lindau;176;ZH;2692830.572;1253611.558;de;2008-07-01
Pfäffikon ZH;8330;00;Pfäffikon;177;ZH;2702553.246;1247116.145;de;2008-07-01
Auslikon;8331;00;Pfäffikon;177;ZH;2703577.862;1244853.550;de;2008-07-01
Wetzikon ZH;8623;00;Pfäffikon;177;ZH;2704059.091;1243946.901;de;2008-07-01
Madetswil;8322;00;Russikon;178;ZH;2702268.919;1252148.590;de;2008-07-01
Gündisau;8322;02;Russikon;178;ZH;2703173.813;1250618.723;de;2011-05-01
Russikon;8332;00;Russikon;178;ZH;2701497.360;1250256.979;de;2008-07-01
Rumlikon;8332;02;Russikon;178;ZH;2699866.808;1251680.918;de;2011-05-01
Agasul;8308;02;Weisslingen;180;ZH;2698699.981;1253713.527;de;2008-07-01
Weisslingen;8484;00;Weisslingen;180;ZH;2700630.234;1254695.432;de;2008-07-01
Neschwil;8484;02;Weisslingen;180;ZH;2702302.726;1253814.546;de;2008-07-01
Theilingen;8484;03;Weisslingen;180;ZH;2700081.785;1252688.486;de;2008-07-01
Rikon im Tösstal;8486;00;Weisslingen;180;ZH;2701675.896;1256120.558;de;2008-07-01
Wila;8492;00;Wila;181;ZH;2707848.873;1250952.312;de;2008-07-01
Saland;8493;00;Wila;181;ZH;2707152.019;1250526.676;de;2008-07-01
Madetswil;8322;00;Wildberg;182;ZH;2703086.448;1252864.975;de;2008-07-01
Turbenthal;8488;00;Wildberg;182;ZH;2705068.608;1255180.608;de;2008-07-01
Wildberg;8489;00;Wildberg;182;ZH;2704193.661;1253880.017;de;2008-07-01
Schalchen;8489;01;Wildberg;182;ZH;2705276.201;1251461.426;de;2016-03-01
Ehrikon;8489;02;Wildberg;182;ZH;2703643.798;1252633.837;de;2016-03-01
Gockhausen;8044;01;Dübendorf;191;ZH;2688037.993;1248167.752;de;2008-07-01
Zürich;8051;00;Dübendorf;191;ZH;2686850.336;1249823.093;de;2008-07-01
Dübendorf;8600;00;Dübendorf;191;ZH;2689262.139;1249776.792;de;2008-07-01
Schwerzenbach;8603;00;Dübendorf;191;ZH;2691189.040;1249105.323;de;2008-07-01
Forch;8127;00;Egg;192;ZH;2692513.543;1240141.286;de;2008-07-01
Egg b. Zürich;8132;00;Egg;192;ZH;2694472.273;1238733.923;de;2008-07-01
Hinteregg;8132;02;Egg;192;ZH;2694207.029;1240770.313;de;2008-07-01
Esslingen;8133;00;Egg;192;ZH;2696630.998;1238379.746;de;2008-07-01
Fällanden;8117;00;Fällanden;193;ZH;2690802.638;1247310.808;de;2008-07-01
Pfaffhausen;8118;00;Fällanden;193;ZH;2689675.417;1246815.125;de;2008-07-01
Benglen;8121;00;Fällanden;193;ZH;2690507.836;1246286.484;de;2008-07-01
Greifensee;8606;02;Greifensee;194;ZH;2693749.766;1246889.623;de;2008-07-01
Binz;8122;00;Maur;195;ZH;2689790.427;1245772.971;de;2008-07-01
Ebmatingen;8123;00;Maur;195;ZH;2690727.125;1245198.725;de;2008-07-01
Maur;8124;00;Maur;195;ZH;2693112.998;1243136.813;de;2008-07-01
Forch;8127;00;Maur;195;ZH;2691866.002;1243349.473;de;2008-07-01
Hinteregg;8132;02;Maur;195;ZH;2694107.029;1241424.257;de;2008-07-01
Aathal-Seegräben;8607;00;Mönchaltorf;196;ZH;2699768.237;1242805.018;de;2008-07-01
Mönchaltorf;8617;00;Mönchaltorf;196;ZH;2696845.362;1240948.955;de;2008-07-01
Dübendorf;8600;00;Schwerzenbach;197;ZH;2691467.915;1249610.549;de;2008-07-01
Schwerzenbach;8603;00;Schwerzenbach;197;ZH;2691949.387;1248660.653;de;2008-07-01
Gutenswil;8605;00;Uster;198;ZH;2696365.917;1248111.940;de;2008-07-01
Nänikon;8606;00;Uster;198;ZH;2694724.798;1247481.786;de;2008-07-01
Uster;8610;00;Uster;198;ZH;2697017.059;1245448.915;de;2008-07-01
Sulzbach;8614;02;Uster;198;ZH;2698878.878;1242643.777;de;2008-07-01
Wermatswil;8615;00;Uster;198;ZH;2698345.120;1246934.031;de;2008-07-01
Freudwil;8615;02;Uster;198;ZH;2697717.041;1248122.240;de;2008-07-01
Riedikon;8616;00;Uster;198;ZH;2696134.024;1242785.740;de;2008-07-01
Mönchaltorf;8617;00;Uster;198;ZH;2698050.342;1242595.386;de;2008-07-01
Effretikon;8307;00;Volketswil;199;ZH;2693871.690;1251967.772;de;2008-07-01
Volketswil;8604;00;Volketswil;199;ZH;2693863.715;1250081.065;de;2008-07-01
Gutenswil;8605;00;Volketswil;199;ZH;2696567.326;1249196.399;de;2008-07-01
Brüttisellen;8306;00;Wangen-Brüttisellen;200;ZH;2690327.786;1253065.586;de;2008-07-01
Wangen b. Dübendorf;8602;00;Wangen-Brüttisellen;200;ZH;2691381.849;1251650.399;de;2008-07-01
Altikon;8479;00;Altikon;211;ZH;2701253.574;1270591.621;de;2008-07-01
Brütten;8311;00;Brütten;213;ZH;2693211.558;1259007.550;de;2008-07-01
Rutschwil (Dägerlen);8471;00;Dägerlen;214;ZH;2697404.455;1268087.758;de;2008-07-01
Dägerlen;8471;02;Dägerlen;214;ZH;2696177.560;1268633.089;de;2008-07-01
Oberwil (Dägerlen);8471;03;Dägerlen;214;ZH;2696012.436;1269736.605;de;2008-07-01
Berg (Dägerlen);8471;04;Dägerlen;214;ZH;2697423.449;1269235.894;de;2008-07-01
Bänk (Dägerlen);8471;05;Dägerlen;214;ZH;2697860.981;1267275.677;de;2008-07-01
Dättlikon;8421;00;Dättlikon;215;ZH;2689228.043;1264878.536;de;2008-07-01
Dinhard;8474;00;Dinhard;216;ZH;2699835.926;1268444.775;de;2008-07-01
Ellikon an der Thur;8548;00;Ellikon an der Thur;218;ZH;2704499.172;1268896.047;de;2008-07-01
Elsau;8352;00;Elsau;219;ZH;2702929.564;1262172.258;de;2008-07-01
Gerlikon;8500;04;Hagenbuch;220;ZH;2708203.492;1265096.904;de;2008-07-01
Hagenbuch ZH;8523;00;Hagenbuch;220;ZH;2708120.555;1263643.917;de;2008-07-01
Hettlingen;8442;00;Hettlingen;221;ZH;2695758.964;1267151.966;de;2008-07-01
Aesch (Neftenbach);8412;00;Neftenbach;223;ZH;2693264.198;1266727.811;de;2008-07-01
Riet (Neftenbach);8412;01;Neftenbach;223;ZH;2694148.040;1265911.920;de;2008-07-01
Hünikon (Neftenbach);8412;02;Neftenbach;223;ZH;2692185.671;1267725.612;de;2008-07-01
Neftenbach;8413;00;Neftenbach;223;ZH;2692217.839;1265243.572;de;2008-07-01
Pfungen;8422;00;Pfungen;224;ZH;2690679.247;1262803.785;de;2008-07-01
Rickenbach ZH;8545;00;Rickenbach (ZH);225;ZH;2702134.328;1267886.252;de;2008-07-01
Rickenbach Sulz;8545;01;Rickenbach (ZH);225;ZH;2701551.149;1266480.904;de;2008-07-01
Hofstetten ZH;8354;00;Schlatt (ZH);226;ZH;2705610.707;1258946.653;de;2008-07-01
Winterthur;8405;00;Schlatt (ZH);226;ZH;2702520.020;1258747.802;de;2008-07-01
Schlatt ZH;8418;00;Schlatt (ZH);226;ZH;2704022.471;1258771.804;de;2016-01-01
Seuzach;8472;00;Seuzach;227;ZH;2696808.917;1265693.314;de;2008-07-01
Bichelsee;8363;00;Turbenthal;228;ZH;2711848.441;1254751.517;de;2008-07-01
Turbenthal;8488;00;Turbenthal;228;ZH;2708402.693;1255149.420;de;2008-07-01
Wila;8492;00;Turbenthal;228;ZH;2707557.090;1252165.461;de;2008-07-01
Schmidrüti;8495;00;Turbenthal;228;ZH;2710845.758;1253043.213;de;2008-07-01
Kemptthal;8310;00;Winterthur;230;ZH;2696028.135;1257369.139;de;2008-07-01
Ricketwil (Winterthur);8352;02;Winterthur;230;ZH;2702408.543;1260456.769;de;2008-07-01
Winterthur;8400;00;Winterthur;230;ZH;2697279.147;1260587.497;de;2008-07-01
Winterthur;8404;00;Winterthur;230;ZH;2699485.401;1262695.204;de;2008-07-01
Reutlingen (Winterthur);8404;02;Winterthur;230;ZH;2698794.301;1264937.474;de;2008-07-01
Stadel (Winterthur);8404;03;Winterthur;230;ZH;2699879.624;1266117.895;de;2008-07-01
Winterthur;8405;00;Winterthur;230;ZH;2700976.918;1259392.693;de;2008-07-01
Winterthur;8406;00;Winterthur;230;ZH;2695114.823;1259926.569;de;2008-07-01
Winterthur;8408;00;Winterthur;230;ZH;2693769.064;1262631.146;de;2008-07-01
Winterthur;8409;00;Winterthur;230;ZH;2701155.646;1262984.881;de;2008-07-01
Sennhof (Winterthur);8482;00;Winterthur;230;ZH;2699471.649;1258232.786;de;2008-07-01
Wiesendangen;8542;00;Winterthur;230;ZH;2700835.963;1265406.227;de;2008-07-01
Rickenbach Sulz;8545;01;Winterthur;230;ZH;2701191.573;1265803.413;de;2008-07-01
Kollbrunn;8483;00;Zell (ZH);231;ZH;2701577.754;1256910.677;de;2008-07-01
Rikon im Tösstal;8486;00;Zell (ZH);231;ZH;2703039.503;1256350.522;de;2008-07-01
